--------------------------------------------------
  ANALYTICAL DATA OF CP.py WITH time_limit = 120  
--------------------------------------------------
    n_rect  n_car     cost  n_car_used  time_limit  time_running
0        5      3    350.0         1.0         120          0.07
1        6      3    350.0         1.0         120          0.07
74       7      3    250.0         2.0         120         49.32
2        7      4    450.0         1.0         120          0.08
3        8      4    100.0         1.0         120          0.09
4        9      4   1550.0         2.0         120          0.10
5       10      3    900.0         1.0         120          0.11
6       11      5    750.0         1.0         120          0.12
7       12      5    550.0         1.0         120        120.11
8       13      4    450.0         1.0         120          0.24
9       14      5   1550.0         2.0         120          1.41
10      15      6    200.0         1.0         120          0.30
11      16      6   1050.0         2.0         120        120.21
12      17      6   1150.0         2.0         120        120.24
13      18      8    150.0         1.0         120          0.40
14      19      9    900.0         3.0         120        120.27
15      20      9    400.0         1.0         120        120.31
16      21      8    950.0         2.0         120        120.32
17      22      8    350.0         1.0         120          0.53
18      23      8    750.0         1.0         120          0.52
19      24      9    100.0         1.0         120          0.54
20      25     10    400.0         1.0         120          0.59
21      26     10    500.0         2.0         120        120.37
22      27     10    350.0         1.0         120          0.86
23      28      9    600.0         2.0         120        120.43
24      29     11    150.0         1.0         120          0.85
25      30     11    900.0         3.0         120        120.50
26      31     10    550.0         1.0         120          6.16
27      32     12   1200.0         2.0         120        120.61
28      33     14    350.0         2.0         120        120.62
29      34     12    750.0         2.0         120        120.64
30      35     11   1550.0         3.0         120        120.64
31      36     12   1200.0         4.0         120        120.71
32      37     12    750.0         3.0         120        120.71
33      38     12   1050.0         3.0         120        120.74
34      39     16   2850.0         5.0         120        120.81
35      40     14   1250.0         3.0         120        120.84
36      41     15    600.0         1.0         120         11.59
37      42     14    700.0         4.0         120        120.96
38      43     17   1050.0         3.0         120        121.05
39      44     18    400.0         2.0         120        121.13
40      45     17    950.0         3.0         120        121.01
41      46     17   1150.0         4.0         120        121.04
42      47     16    650.0         4.0         120        121.08
43      48     18   1000.0         3.0         120        121.13
44      49     15    600.0         3.0         120        121.18
45      50     18   1750.0         5.0         120        121.22
46      51     18   1750.0         3.0         120        121.23
47      52     17   1500.0         3.0         120        121.26
48      53     20    650.0         2.0         120        121.39
49      54     18   2350.0         5.0         120        121.35
50      60     23   2100.0         5.0         120        121.67
51      90     29   1050.0         6.0         120        123.27
52     120     44   3050.0         8.0         120        125.76
53     150     53   4700.0        12.0         120        128.73
54     180     64   3100.0        10.0         120        132.62
55     210     72   7850.0        20.0         120        137.80
56     240     81   6400.0        12.0         120        142.27
57     270     93   9600.0        17.0         120        147.97
58     300    110  35650.0        60.0         120        155.31
59     330    110  32700.0        64.0         120        161.76
60     350    122  36450.0        65.0         120        167.71
61     400    135      NaN         NaN         120        187.90
62     450    158      NaN         NaN         120        204.39
63     500    167      NaN         NaN         120        222.52
64     550    196      NaN         NaN         120        234.08
65     600    200      NaN         NaN         120        252.43
66     650    231      NaN         NaN         120        289.77
67     700    239      NaN         NaN         120        321.15
68     750    250      NaN         NaN         120        351.54
69     800    270      NaN         NaN         120        379.11
70     850    299      NaN         NaN         120        650.40
71     900    318      NaN         NaN         120        608.22
72     950    335      NaN         NaN         120        472.50
73    1000    346      NaN         NaN         120        660.40
--------------------------------------------------
 ANALYTICAL DATA OF MIP.py WITH time_limit = 300  
--------------------------------------------------
    n_rect  n_car     cost  n_car_used  time_limit  time_running
0        5      3    350.0         1.0         300          0.07
1        6      3    350.0         1.0         300          0.08
74       7      3    250.0         2.0         300          2.61
2        7      4    450.0         1.0         300          0.09
3        8      4    100.0         1.0         300          0.12
4        9      4   1550.0         2.0         300          3.23
5       10      3    900.0         1.0         300          0.63
6       11      5    750.0         1.0         300          0.17
7       12      5    550.0         1.0         300        300.16
8       13      4    450.0         1.0         300          0.66
9       14      5   1850.0         3.0         300        300.15
10      15      6    200.0         1.0         300          3.44
11      16      6   1050.0         2.0         300        300.17
12      17      6   1300.0         2.0         300        300.16
13      18      8    150.0         1.0         300          9.31
14      19      9    900.0         3.0         300        300.19
15      20      9    400.0         1.0         300        300.18
16      21      8    950.0         2.0         300        300.19
17      22      8    350.0         1.0         300         42.61
18      23      8    750.0         1.0         300         77.97
19      24      9    100.0         1.0         300        130.52
20      25     10   1000.0         2.0         300        300.27
21      26     10    950.0         3.0         300        300.28
22      27     10   3350.0         5.0         300        300.31
23      28      9   3350.0         5.0         300        300.31
24      29     11    150.0         1.0         300        262.91
25      30     11   1450.0         3.0         300        300.35
26      31     10   2400.0         5.0         300        300.35
27      32     12   4550.0         8.0         300        300.40
28      33     14   7550.0        14.0         300        300.42
29      34     12   5100.0        11.0         300        300.41
30      35     11   4500.0         7.0         300        300.43
31      36     12   5650.0        11.0         300        300.42
32      37     12   3850.0         8.0         300        300.47
33      38     12   4600.0         9.0         300        300.60
34      39     16   9800.0        15.0         300        300.73
35      40     14   8000.0        13.0         300        300.52
36      41     15      NaN         NaN         300        300.68
37      42     14      NaN         NaN         300        301.05
38      43     17   5000.0        10.0         300        300.61
39      44     18   3150.0         6.0         300        300.68
40      45     17      NaN         NaN         300        300.64
41      46     17      NaN         NaN         300        300.70
42      47     16   7400.0        16.0         300        300.68
43      48     18      NaN         NaN         300        300.81
44      49     15      NaN         NaN         300        302.51
45      50     18      NaN         NaN         300        302.53
46      51     18      NaN         NaN         300        303.15
47      52     17      NaN         NaN         300        301.16
48      53     20  12300.0        20.0         300        301.11
49      54     18      NaN         NaN         300           NaN
50      60     23      NaN         NaN         300           NaN
51      90     29      NaN         NaN         300           NaN
52     120     44      NaN         NaN         300           NaN
53     150     53      NaN         NaN         300           NaN
54     180     64      NaN         NaN         300           NaN
55     210     72      NaN         NaN         300           NaN
56     240     81      NaN         NaN         300           NaN
57     270     93      NaN         NaN         300           NaN
58     300    110      NaN         NaN         300           NaN
59     330    110      NaN         NaN         300           NaN
60     350    122      NaN         NaN         300           NaN
61     400    135      NaN         NaN         300           NaN
62     450    158      NaN         NaN         300           NaN
63     500    167      NaN         NaN         300           NaN
64     550    196      NaN         NaN         300           NaN
65     600    200      NaN         NaN         300           NaN
66     650    231      NaN         NaN         300           NaN
67     700    239      NaN         NaN         300           NaN
68     750    250      NaN         NaN         300           NaN
69     800    270      NaN         NaN         300           NaN
70     850    299      NaN         NaN         300           NaN
71     900    318      NaN         NaN         300           NaN
72     950    335      NaN         NaN         300           NaN
73    1000    346      NaN         NaN         300           NaN
--------------------------------------------------
ANALYTICAL DATA OF heuristic_bestfit_area_numpy.py WITH GLOBAL_TIME_LIMIT_PER_ITER = 1
--------------------------------------------------
    rect_count  car_count  total cost  cars used count  running time  GLOBAL_TIME_LIMIT_PER_ITER  time_exceeded_count
0            5          3         750                1      0.000000                           1                    0
1            6          3         450                1      0.001993                           1                    0
74           7          3         300                2      0.000000                           1                    0
2            7          3         500                1      0.005509                           1                    0
3            8          4         700                1      0.001995                           1                    0
4            9          4         950                2      0.006481                           1                    0
5           10          5         500                2      0.004986                           1                    0
6           11          5         500                2      0.005280                           1                    0
7           12          5        1200                2      0.005156                           1                    0
8           13          6         400                1      0.034051                           1                    0
9           14          5         600                3      0.004293                           1                    0
10          15          5         900                2      0.007097                           1                    0
11          16          8         450                1      0.049601                           1                    0
12          17          8        1450                2      0.015557                           1                    0
13          18          6        1850                3      0.004514                           1                    0
14          19          6         500                2      0.017235                           1                    0
15          20          6         950                2      0.027307                           1                    0
16          21         10         750                2      0.084109                           1                    0
17          22          9         100                1      0.132674                           1                    0
18          23         10         850                2      0.075640                           1                    0
19          24         10         100                1      0.217499                           1                    0
20          25          9        1300                3      0.015029                           1                    0
21          26          9         900                3      0.024597                           1                    0
22          27         10        1400                3      0.019511                           1                    0
23          28         10         700                1      0.199592                           1                    0
24          29         11         200                1      0.306941                           1                    0
25          30         12         700                1      0.346735                           1                    0
26          31         11        1250                4      0.016507                           1                    0
27          32         12         850                2      0.093091                           1                    0
28          33         12        1550                3      0.109835                           1                    0
29          34         11        1350                3      0.080175                           1                    0
30          35         12        1600                4      0.024447                           1                    0
31          36         12         550                2      0.197977                           1                    0
32          37         16        1100                2      0.306560                           1                    0
33          38         16        1450                3      0.082091                           1                    0
34          39         15         950                3      0.057232                           1                    0
35          40         12        1950                4      0.049649                           1                    0
36          41         17         350                1      0.755262                           1                    0
37          42         16         650                4      0.056593                           1                    0
38          43         15        1550                3      0.284045                           1                    0
39          44         16         350                1      0.928624                           1                    0
40          45         15        1250                3      0.275208                           1                    0
41          46         17        2100                6      0.031011                           1                    0
42          47         16        1050                2      0.674561                           1                    0
43          48         16         800                2      0.644124                           1                    0
44          49         16        1050                2      0.323343                           1                    0
45          50         17        1400                6      0.038230                           1                    0
46          51         16        1500                4      0.125216                           1                    0
47          52         17        2350                5      0.054796                           1                    0
48          53         18         800                4      0.125647                           1                    0
49          54         24        1650                5      0.133037                           1                    0
50          60         24        3350                6      0.072684                           1                    0
51          90         29        2150                4      0.875870                           1                    0
52         120         42        3300               12      0.151319                           1                    0
53         150         52        1150                4      4.247697                           1                    0
54         180         66        4200               14      0.397660                           1                    0
55         210         72        1450                6      3.540542                           1                    0
56         240         84        2850               11      1.735786                           1                    0
57         270         92        2150               10      3.110280                           1                    0
58         300        100        4000               19      2.695027                           1                    0
59         330        110        8750               25      1.345982                           1                    0
60         350        126        8100               26      2.225265                           1                    0
61         400        132        4600               22      2.199580                           1                    0
62         450        154        9550               30      2.214812                           1                    0
63         500        171        5950               23      4.125900                           1                    0
64         550        191        8250               35      2.871976                           1                    0
65         600        208        7200               26      5.727551                           1                    0
66         650        216       14150               45      3.296739                           1                    0
67         700        237        9850               39      7.479361                           1                    0
68         750        258       11700               46      5.317830                           1                    0
69         800        276        9350               41      5.303170                           1                    0
70         850        294       13400               42     11.155927                           1                    0
71         900        312       11150               34     24.064926                           1                    0
72         950        327       12400               42     11.358426                           1                    0
73        1000        336       16150               53      7.064368                           1                    0
