,rect_count,truck_count,total cost,trucks used count,running time,GLOBAL_TIME_LIMIT_PER_ITER,time_exceeded_count
0,5,3,750,1,0.0,1,0
1,6,3,450,1,0.0019979476928710938,1,0
2,7,3,500,1,0.004982948303222656,1,0
3,8,4,700,1,0.0019936561584472656,1,0
4,9,4,950,2,0.005979299545288086,1,0
5,10,5,500,2,0.0059812068939208984,1,0
6,11,5,500,2,0.004982709884643555,1,0
7,12,5,1200,2,0.004978179931640625,1,0
8,13,6,400,1,0.028908491134643555,1,0
9,14,5,600,3,0.0029850006103515625,1,0
10,15,5,900,2,0.005975246429443359,1,0
11,16,8,450,1,0.04883694648742676,1,0
12,17,8,1450,2,0.012956380844116211,1,0
13,18,6,1850,3,0.003990888595581055,1,0
14,19,6,500,2,0.016942977905273438,1,0
15,20,6,950,2,0.025908708572387695,1,0
16,21,10,750,2,0.08438992500305176,1,0
17,22,9,100,1,0.12868428230285645,1,0
18,23,10,850,2,0.07387447357177734,1,0
19,24,10,100,1,0.2142782211303711,1,0
20,25,9,1300,3,0.014949798583984375,1,0
21,26,9,900,3,0.024916887283325195,1,0
22,27,10,1400,3,0.019932985305786133,1,0
23,28,10,700,1,0.20232295989990234,1,0
24,29,11,200,1,0.2890336513519287,1,0
25,30,12,700,1,0.3343989849090576,1,0
26,31,11,1250,4,0.015614509582519531,1,0
27,32,12,850,2,0.10536026954650879,1,0
28,33,12,1550,3,0.1027066707611084,1,0
29,34,11,1350,3,0.08882594108581543,1,0
30,35,12,1600,4,0.015584468841552734,1,0
31,36,12,550,2,0.19999384880065918,1,0
32,37,16,1100,2,0.2900049686431885,1,0
33,38,16,1450,3,0.06900262832641602,1,0
34,39,15,950,3,0.055755615234375,1,0
35,40,12,1950,4,0.05266237258911133,1,0
36,41,17,350,1,0.7481181621551514,1,0
37,42,16,650,4,0.0502011775970459,1,0
38,43,15,1550,3,0.25862574577331543,1,0
39,44,16,350,1,0.9541616439819336,1,0
40,45,15,1250,3,0.30909109115600586,1,0
41,46,17,2100,6,0.03230166435241699,1,0
42,47,16,1050,2,0.656658411026001,1,0
43,48,16,800,2,0.6198601722717285,1,0
44,49,16,1050,2,0.34522104263305664,1,0
45,50,17,1400,6,0.035880327224731445,1,0
46,51,16,1500,4,0.1237795352935791,1,0
47,52,17,2350,5,0.05381512641906738,1,0
48,53,18,800,4,0.12578678131103516,1,0
49,54,24,1650,5,0.1273190975189209,1,0
50,60,24,3350,6,0.08295392990112305,1,0
51,90,29,2150,4,0.8797414302825928,1,0
52,120,42,3300,12,0.14581871032714844,1,0
53,150,52,1150,4,4.156850099563599,1,0
54,180,66,4200,14,0.35933518409729004,1,0
55,210,72,1450,6,3.414538860321045,1,0
56,240,84,2850,11,1.6575391292572021,1,0
57,270,92,2150,10,3.008995771408081,1,0
58,300,100,4000,19,2.6715893745422363,1,0
59,330,110,8750,25,1.2186298370361328,1,0
60,350,126,8100,26,2.2089426517486572,1,0
61,400,132,4600,22,2.187265396118164,1,0
62,450,154,9550,30,2.140393018722534,1,0
63,500,171,5950,23,3.9925808906555176,1,0
64,550,191,8250,35,2.7028329372406006,1,0
65,600,208,7200,26,5.701979398727417,1,0
66,650,216,14150,45,3.1715376377105713,1,0
67,700,237,9850,39,7.3022685050964355,1,0
68,750,258,11700,46,5.140061855316162,1,0
69,800,276,9350,41,5.155648469924927,1,0
70,850,294,13400,42,10.739935398101807,1,0
71,900,312,11150,34,22.150084733963013,1,0
72,950,327,12400,42,10.21223258972168,1,0
73,7,3,300,2,0.015623331069946289,1,0
