,rect_count,truck_count,total cost,trucks used count,running time,GLOBAL_TIME_LIMIT_PER_ITER,time_exceeded_count
0,5,3,950,1,0.001016855239868164,1,0
1,6,3,350,1,0.005847454071044922,1,0
2,7,4,450,1,0.0039637088775634766,1,0
3,8,4,100,1,0.00931549072265625,1,0
4,9,4,1550,2,0.0038967132568359375,1,0
5,10,3,1000,1,0.010890483856201172,1,0
6,11,5,750,1,0.015258073806762695,1,0
7,12,5,700,2,0.016634225845336914,1,0
8,13,4,450,1,0.026244401931762695,1,0
9,14,5,1550,2,0.01511836051940918,1,0
10,15,6,250,1,0.02649235725402832,1,0
11,16,6,1050,2,0.020117759704589844,1,0
12,17,6,1300,2,0.021325349807739258,1,0
13,18,8,150,1,0.06612777709960938,1,0
14,19,9,1650,3,0.009494543075561523,1,0
15,20,9,400,1,0.07555127143859863,1,0
16,21,8,950,2,0.04467320442199707,1,0
17,22,8,350,1,0.1488349437713623,1,0
18,23,8,750,1,0.1187746524810791,1,0
19,24,9,100,1,0.1711444854736328,1,0
20,25,10,400,1,0.2242438793182373,1,0
21,26,10,800,2,0.035691022872924805,1,0
22,27,10,350,1,0.22539496421813965,1,0
23,28,9,700,1,0.22078871726989746,1,0
24,29,11,150,1,0.28268909454345703,1,0
25,30,11,900,3,0.03473067283630371,1,0
26,31,10,550,1,0.31308841705322266,1,0
27,32,12,1200,2,0.1697092056274414,1,0
28,33,14,350,2,0.08470726013183594,1,0
29,34,12,750,2,0.17372894287109375,1,0
30,35,11,1600,3,0.04151606559753418,1,0
31,36,12,1200,4,0.03829503059387207,1,0
32,37,12,900,3,0.06644272804260254,1,0
33,38,12,1050,3,0.14434599876403809,1,0
34,39,16,3200,5,0.026572227478027344,1,0
35,40,14,1250,3,0.10542893409729004,1,0
36,41,15,600,1,0.6468536853790283,1,0
37,42,14,700,4,0.06698846817016602,1,0
38,43,17,1100,3,0.09933972358703613,1,0
39,44,18,1000,2,0.694749116897583,1,0
40,45,17,950,3,0.08105230331420898,1,0
41,46,17,1150,4,0.1399705410003662,1,0
42,47,16,700,3,0.13786911964416504,1,0
43,48,18,1250,3,0.3539092540740967,1,0
44,49,15,600,3,0.19320940971374512,1,0
45,50,18,1750,5,0.06626605987548828,1,0
46,51,18,2000,5,0.12395834922790527,1,0
47,52,17,1750,4,0.1669931411743164,1,0
48,53,20,950,2,1.204772710800171,1,0
49,54,18,2600,5,0.1045846939086914,1,0
50,60,23,2550,6,0.16348814964294434,1,0
51,90,29,1150,5,0.44617795944213867,1,0
52,120,44,2300,7,0.7227683067321777,1,0
53,150,53,3700,12,0.41784000396728516,1,0
54,180,64,1700,7,2.164133310317993,1,0
55,210,72,4200,15,1.4054837226867676,1,0
56,240,81,3450,8,7.155661106109619,1,0
57,270,93,6050,17,1.6651368141174316,1,0
58,300,110,4450,13,3.418172836303711,1,0
59,330,110,4000,16,3.0364482402801514,1,0
60,350,122,3150,12,5.558166742324829,1,0
61,400,135,5950,22,2.1618361473083496,1,0
62,450,158,6150,21,5.364502191543579,1,0
63,500,167,8400,35,1.7935009002685547,1,0
64,550,196,6850,27,3.8492796421051025,1,0
65,600,200,8250,29,8.24317216873169,1,0
66,650,231,7150,28,15.696556568145752,1,0
67,700,239,8800,34,7.004041910171509,1,0
68,750,250,13350,42,5.560105085372925,1,0
69,800,270,9650,42,6.92248272895813,1,0
70,850,299,9200,38,9.844647645950317,1,0
71,900,318,13250,41,11.781085968017578,1,0
72,950,335,16550,59,4.662445783615112,1,0
